Granularity,Start date,End date,Business ID,Business name,Store ID,Store name,Merchant supplied store ID,Channel,Fulfillment type,Is DashPass,Customer type,Currency,Total orders/deliveries (including cancelled),Total cancelled orders/deliveries,Gross sales,AOV
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,20,0,464.48,23.22
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,2,0,26.85,13.43
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,3,0,49.20,16.40
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,unknown,USD,1,1,12.08,12.08
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,22,1,576.83,26.22
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,4,0,85.73,21.43
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,10,0,149.94,14.99
Day of 2025-02-17,2025-02-17,2025-02-17,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,31,0,585.22,18.88
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,7,0,105.04,15.01
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,11,0,195.04,17.73
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,3,0,36.06,12.02
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,18,0,353.09,19.62
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,4,0,64.57,16.14
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,4,0,69.38,17.35
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,1,0,41.15,41.15
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,4,0,72.15,18.04
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,6,0,111.37,18.56
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,6,0,118.29,19.72
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,27,0,587.83,21.77
Day of 2025-02-18,2025-02-18,2025-02-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,16,1,377.28,23.58
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,16,0,315.51,19.72
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,31,0,746.58,24.08
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,4,0,81.78,20.45
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,19,0,414.75,21.83
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,52.74,10.55
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,20,0,367.56,18.38
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,3,0,55.67,18.56
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,69.12,34.56
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,24,0,575.97,24.00
Day of 2025-02-19,2025-02-19,2025-02-19,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,7,0,100.79,14.40
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,new,USD,6,0,63.98,10.66
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,2,0,48.68,24.34
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,22,0,419.59,19.07
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,new,USD,5,0,102.79,20.56
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,new,USD,1,0,13.68,13.68
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,16,0,341.56,21.35
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,26,0,635.92,24.46
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,2,0,33.83,16.92
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,18,0,279.03,15.50
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,30,0,614.00,20.47
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,new,USD,4,0,59.95,14.99
Day of 2025-02-20,2025-02-20,2025-02-20,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,29,0,588.35,20.29
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,repeat,USD,36,1,800.60,22.24
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,true,new,USD,11,0,251.61,22.87
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,false,repeat,USD,9,0,145.41,16.16
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,repeat,USD,34,0,694.00,20.41
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),574,Marketplace,dasher,true,repeat,USD,26,0,529.45,20.36
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,Marketplace,dasher,false,repeat,USD,28,0,431.80,15.42
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,false,repeat,USD,23,0,426.27,18.53
Day of 2025-02-21,2025-02-21,2025-02-21,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),3206,Marketplace,dasher,true,new,USD,6,0,178.08,29.68
