Start date,End date,Business ID,Business name,Store ID,Store name,Channel,Item name,Popular item,Currency,Gross sales,Discounts,Total sold,Total item errors,Total error charges
2025-01-01,2026-06-01,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,McChicken® Biscuit,0,USD,469.91,35.82,140,1,2.72
2025-01-24,2026-05-31,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Deluxe Spicy McCrispy™,0,USD,469.09,48.08,57,4,27.19
2025-01-06,2026-05-30,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,2 Half Strips Bacon,0,USD,466.47,23.55,213,5,10.51
2025-04-30,2025-08-18,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,HERSHEY'S Chocolate Chip Frappé,0,USD,456.22,8.46,76,1,5.75
2025-01-01,2025-07-01,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,Krispy Kreme® Original Glazed® Doughnut,0,USD,445.06,24.74,154,5,13.67
2025-05-12,2026-05-16,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,3 Piece McCrispy™ Strips Meal,0,USD,443.81,34.32,39,3,15.37
2025-05-01,2026-05-15,5579,McDonald's,655827,McDonald's (574-S BND-S MICHIGAN),Marketplace,4 Piece McCrispy™ Strips,0,USD,443.40,23.58,60,1,6.27
2025-01-01,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Tangy BBQ Dipping Sauce,0,USD,442.26,52.24,1134,29,13.71
2025-01-01,2026-06-02,5579,McDonald's,655825,McDonald's (3206-S BEND-WESTERN),Marketplace,Sweet N Sour Dipping Sauce,0,USD,441.48,60.37,1132,30,19.56
2025-01-03,2026-06-02,5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),Marketplace,Premium Roast Coffee,0,USD,433.60,37.57,173,2,2.83
