Business ID,Business name,Store ID,Store name,Merchant store ID,Payout date,Currency,Channel,Subtotal,Subtotal tax passed to merchant,Commission,Payment processing fee,Marketing fees | (including any applicable taxes),Customer discounts from marketing | (funded by you),Customer discounts from marketing | (funded by DoorDash),Customer discounts from marketing | (funded by a third-party),DoorDash marketing credit,Third-party contribution,Marketing fees (for historical reference only) | (all discounts and fees),Marketing fee tax (for historical reference only) | (taxes on any applicable marketing fees),Ad fee (for historical reference only),Ad fee tax (for historical reference only),Error charges,Adjustments,Net total,Subtotal for tax,Subtotal tax remitted by DoorDash to tax authorities,DoorDash funded subtotal discount amount | (for historical reference only),Merchant funded subtotal discount amount | (for historical reference only),Payout ID,Payout status
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-16,USD,Marketplace,8581.92,0.00,-1177.21,0.00,-395.32,-898.75,-37.21,0.00,37.21,0.00,-967.06,0.00,-327.01,0.00,-308.82,110.70,5912.52,7651.94,-535.72,37.21,898.75,554898000,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-16,USD,Storefront,28.34,0.00,0.00,-1.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.77,28.34,-1.98,0.00,0.00,554898000,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-16,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,48.58,48.58,0.00,0.00,0.00,0.00,554898000,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-09,USD,Marketplace,9716.51,0.00,-1257.27,0.00,-357.03,-1521.67,-46.54,0.00,46.54,0.00,-1591.96,0.00,-286.74,0.00,-272.85,96.28,6403.97,8148.30,-570.40,46.54,1521.67,553053991,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-09,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.31,55.31,0.00,0.00,0.00,0.00,553053991,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-02,USD,Marketplace,11017.67,0.00,-1422.73,0.00,-379.34,-1721.49,-84.82,0.00,84.82,0.00,-1794.75,0.00,-306.08,0.00,-373.30,122.93,7243.74,9214.35,-645.12,84.82,1721.49,551195553,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-02,USD,Storefront,44.80,0.00,0.00,-3.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.56,44.80,-3.13,0.00,0.00,551195553,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-02-02,USD,NULL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53.39,53.39,0.00,0.00,0.00,0.00,551195553,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-26,USD,Marketplace,10586.44,0.00,-1352.45,0.00,-456.21,-1723.90,-92.27,0.00,92.27,0.00,-1802.11,0.00,-378.00,0.00,-370.15,134.50,6818.23,8773.26,-614.13,92.27,1723.90,549421899,PAID
5579,McDonald's,655822,McDonald's (493-S BND-N MICHIGAN),493,2026-01-26,USD,Storefront,67.52,0.00,0.00,-4.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,62.80,67.52,-4.72,0.00,0.00,549421899,PAID
