Start Date,End Date,Item Name,Menu Category,Gross Item Sales,Item Volume,% of Total Item Volume,Total Item Missing or Incorrect Errors,% of Total Missing/Incorrect Errors,Item Missing/Incorrect %,Total Item Error Charges,Currency
2025-01-01,2026-06-03,DASANI® Bottled Water,McCafé® Beverages,20.1,10,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Latte,McCafé® Coffees,19.74,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Deluxe Special Edition Gold McCrispy™,Chicken,19.57,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,HERSHEY'S S'mores McFlurry®,Most Popular,19.43,6,0.0,1,0.01,16.67,2.35,USD
2025-01-01,2026-06-03,Double Bacon Quarter Pounder® with Cheese,Meals,19.38,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Bagel,Individual Items,19.37,13,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Dirty Dr Pepper®,McCafé® Coffees,19.35,4,0.0,1,0.01,25.0,4.7,USD
2025-01-01,2026-06-03,Bacon Hot Honey McCrispy™,Chicken,18.38,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,1 of 6 McDonaldland Collectible ,The McDonaldland Meal,18.0,9,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Buffalo Ranch Sauce Cup,Condiments,17.94,46,0.02,1,0.01,2.17,0.32,USD
2025-01-01,2026-06-03,Orange Dream,Drinks,16.96,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin®,Most Popular,16.94,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Tea,McCafé® Coffees,16.91,9,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Deluxe McCrispy™,Meals,16.57,2,0.0,1,0.01,50.0,6.7,USD
2025-01-01,2026-06-03,Apple & Pumpkin & Creme Pie,Sweets and Treats,16.45,5,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,BBQ Bacon Quarter Pounder® with Cheese,Limited Time: Angel Reese Special,15.98,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Mango Pineapple Refresher,Drinks,15.37,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Iced Peppermint Coffee,McCafé® Coffees,15.13,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Sausage McMuffin® with Egg ,Most Popular,14.97,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,BBQ Bacon QPC: The Angel Reese Special Double,Most Popular,14.79,1,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,The Angel Reese Special - Double,Most Popular,14.79,1,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,A Minecraft Movie Big Mac® Meal,Most Popular,14.49,1,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Sausage McMuffin® Meal,Sandwiches,14.48,2,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Vanilla Latte,McCafé®,14.36,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Blackberry Passion Fruit Refresher,McCafé® Beverages,14.27,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,The Grinch™ 10 pc. Chicken McNuggets® Meal,Most Popular,13.79,1,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,OREO® Shamrock McFlurry®,Sweets and Treats,12.86,4,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Hot Tea,Beverages,12.73,7,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Spicy Saja McMuffin® with Egg,Most Popular,12.57,3,0.0,0,0.0,0.0,0.0,USD
2025-01-01,2026-06-03,Southern Style Sweet Tea Lemonade,Drinks,12.16,4,0.0,0,0.0,0.0,0.0,USD
