Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Number of Dislikes,Number of Loved,Percentage of Loved,Currency,Average ASAP Minutes
Day of 2026-05-29,2026-05-29,2026-05-29,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,92,90,8,8.70,44.09,2,2.17,0,0.00,0.00,2.93,3.71,22.66,100.0,0.0,0,NULL,3,NULL,NULL,0,1,33.33,USD,22.66
Day of 2026-05-29,2026-05-29,2026-05-29,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,56,54,1,1.79,4.20,2,3.57,0,0.00,0.00,5.32,6.82,22.63,99.6,0.4,5,NULL,6,NULL,NULL,0,6,100.00,USD,22.63
Day of 2026-05-29,2026-05-29,2026-05-29,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,13,13,4,30.77,32.47,0,0.00,0,0.00,0.00,3.19,4.71,17.13,99.17,0.83,11,NULL,2,NULL,NULL,0,1,50.00,USD,17.13
Day of 2026-05-28,2026-05-28,2026-05-28,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,59,58,5,8.47,19.06,1,1.69,0,0.00,0.00,4.09,4.51,18.64,100.0,0.0,0,NULL,4,NULL,NULL,1,1,25.00,USD,18.64
Day of 2026-05-28,2026-05-28,2026-05-28,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,46,45,4,8.70,49.10,1,2.17,0,0.00,0.00,4.18,4.93,21.41,100.0,0.0,0,NULL,1,NULL,NULL,0,1,100.00,USD,21.41
Day of 2026-05-28,2026-05-28,2026-05-28,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,21,21,1,4.76,8.58,0,0.00,0,0.00,4.76,5.34,6.12,19.49,100.0,0.0,0,NULL,0,NULL,NULL,0,0,0.00,USD,19.49
Day of 2026-05-27,2026-05-27,2026-05-27,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,45,45,1,2.22,13.92,0,0.00,0,0.00,0.00,2.95,3.69,18.87,100.0,0.0,0,NULL,1,NULL,NULL,0,0,0.00,USD,18.87
Day of 2026-05-27,2026-05-27,2026-05-27,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,39,39,0,0.00,0.00,0,0.00,0,0.00,0.00,5.78,6.58,23.14,100.0,0.0,0,NULL,5,NULL,NULL,1,0,0.00,USD,23.14
Day of 2026-05-27,2026-05-27,2026-05-27,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,20,20,0,0.00,0.00,0,0.00,0,0.00,0.00,2.70,3.54,15.74,96.05,3.95,45,NULL,2,NULL,NULL,1,1,50.00,USD,15.74
Day of 2026-05-26,2026-05-26,2026-05-26,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,40,38,6,15.00,50.88,2,5.00,0,0.00,0.00,4.10,4.95,21.15,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,21.15
Day of 2026-05-26,2026-05-26,2026-05-26,McDonald's (3206-S BEND-WESTERN),655825,5579,3206,45,41,1,2.22,7.06,4,8.89,0,0.00,0.00,5.66,6.25,19.56,100.0,0.0,0,NULL,3,NULL,NULL,0,1,33.33,USD,19.56
Day of 2026-05-26,2026-05-26,2026-05-26,McDonald's (574-S BND-S MICHIGAN),655827,5579,574,22,22,0,0.00,0.00,0,0.00,0,0.00,0.00,3.60,4.28,20.08,100.0,0.0,0,NULL,1,NULL,NULL,1,0,0.00,USD,20.08
Day of 2026-05-25,2026-05-25,2026-05-25,McDonald's (493-S BND-N MICHIGAN),655822,5579,493,33,33,1,3.03,7.03,0,0.00,0,0.00,0.00,2.63,3.45,19.90,100.0,0.0,0,NULL,2,NULL,NULL,0,0,0.00,USD,19.90
